date,open,high,low,close,volume
2024-05-09,198.54,199.3399,198.27,198.77,7529790.0
2024-05-13,199.0,201.58,198.16,201.51,8584925.0
2024-05-14,202.01,202.69,199.77,202.11,8369975.0
2024-05-15,202.22,204.48,201.9901,202.47,8463427.0
2024-05-16,203.81,205.05,202.8149,204.79,9260490.0
2024-05-20,197.0,199.9,196.6,199.52,14420799.0
2024-05-21,199.0,200.935,197.69,198.31,9425338.0
2024-05-22,197.81,198.3,196.07,196.92,8069445.0
2024-05-23,197.75,200.76,197.56,200.71,7356233.0
2024-05-27,199.86,200.41,198.66,199.5,6910206.0
2024-05-28,198.0,198.99,196.89,198.11,6120045.0
2024-05-29,198.56,199.85,198.4,199.33,6829719.0
2024-05-30,199.3,203.3,198.35,202.63,14417885.0
2024-06-03,200.16,201.98,198.28,199.16,6838088.0
2024-06-04,199.76,199.82,196.92,197.26,8351597.0
2024-06-05,197.26,198.02,195.33,196.91,7640289.0
2024-06-06,197.43,200.92,197.01,199.95,6923698.0
2024-06-10,197.91,197.94,193.6,194.36,9235302.0
2024-06-11,196.0,196.72,191.31,191.53,12751329.0
2024-06-12,192.32,194.58,190.88,193.66,8587786.0
2024-06-13,191.45,194.86,191.42,193.78,6874029.0
2024-06-17,194.6,197.96,194.13,197.0,9022971.0
2024-06-19,196.39,199.45,196.11,198.67,8731062.0
2024-06-20,196.71,197.17,194.22,196.3,20672495.0
2024-06-24,198.09,200.07,197.74,198.07,6915909.0
2024-06-25,197.45,197.94,196.275,197.43,7758582.0
2024-06-26,197.44,199.86,196.9,199.17,7913453.0
2024-06-27,200.01,202.6,199.3018,202.26,15307616.0
2024-07-01,205.29,208.86,204.77,208.83,7756436.0
2024-07-02,209.55,210.38,207.65,208.69,5560925.0
2024-07-04,206.99,207.37,204.52,204.79,8093096.0
2024-07-08,205.63,209.76,205.45,207.63,9060258.0
2024-07-09,206.14,207.97,205.58,207.8,8295793.0
2024-07-10,206.21,208.1,205.38,207.45,10666937.0
2024-07-11,204.0,207.45,202.1,204.94,15443441.0
2024-07-15,210.0,213.74,208.08,213.62,11557018.0
2024-07-16,213.8,217.56,213.27,216.87,11572470.0
2024-07-17,215.63,216.635,209.235,209.98,12415125.0
2024-07-18,211.2,212.35,208.92,209.78,8095898.0
2024-07-22,211.02,211.475,209.3527,210.33,5527862.0
2024-07-23,209.55,212.03,208.07,208.59,7118957.0
2024-07-24,208.65,210.19,208.05,208.67,6403774.0
2024-07-25,209.24,213.16,208.62,212.24,8027787.0
2024-07-29,213.23,215.79,212.96,215.19,8850705.0
2024-07-30,214.78,216.39,212.67,212.8,9071637.0
2024-07-31,213.2,213.83,206.38,207.96,10918644.0
2024-08-01,203.88,204.67,196.89,199.14,18040426.0
2024-08-05,195.4,202.6,194.0,200.34,10605780.0
